asin,title,url,price,rating,review_count,seller,scraped_at
B08WKPK952,"Cartucho Hp 667 Original 3ym79ab Preto p/Deskjet 2376, 2776, 6476, 5076, 5276",,64.0,4.7,,,2025-09-26 22:27:49
B0DLZP8ZYN,TECKKIN Cartucho de Tinta para HP 667 667XL Compatíveis com HP DeskJet Ink Advantage 2374 1275 2376 2775 2776 DeskJet Plus 6475 6476 6075 (1 Preto 1 Colorido),,199.0,4.2,,,2025-09-26 22:27:49
B0FCMRLYFB,GPC Image Cartucho de tinta compatível para HP 667 667XL Compatível com HP DeskJet Ink Advantage 1275 2374 2375 2376 2775 2776 6475 Impressora (1 Preto 1 Colorido),,205.0,4.4,,,2025-09-26 22:27:49
B0DPHLXL91,Valuetoner Cartuchos de Tinta para HP 667 667XL 667 XL Compatível com HP DeskJet Ink Advantage 2374 1275 2375 2376 2775 2776e DeskJet Plus 6475 6476 6075 (2 Preto),,170.0,4.3,,,2025-09-26 22:27:49
B08WKPK952,"Cartucho Hp 667 Original 3ym79ab Preto p/Deskjet 2376, 2776, 6476, 5076, 5276",,64.0,4.7,,,2025-09-26 22:27:49
B08Q1YQDHJ,Kit 2 cartucho HP 667 Preto e Colorido,,145.0,4.7,,,2025-09-26 22:27:50
B005MYZ9A0,KIT 2 CARTUCHO DE TINTA HP 667 PRETO E COLOR ORIGINAL 3YM78L DESKJET INK ADVANTAGE 2776,,135.0,4.7,,,2025-09-26 22:27:50
B00I3FMUZ2,"Cartucho de Tinta HP, 667 3Ym78AL Color 29290",,65.0,4.8,,,2025-09-26 22:27:50
B0DLZP8ZYN,TECKKIN Cartucho de Tinta para HP 667 667XL Compatíveis com HP DeskJet Ink Advantage 2374 1275 2376 2775 2776 DeskJet Plus 6475 6476 6075 (1 Preto 1 Colorido),,199.0,4.2,,,2025-09-26 22:27:50
B08C1VQ76Y,Cartucho HP 667 Preto Original (3YM79AL),,59.0,4.7,,,2025-09-26 22:27:50
B08C1XPJGP,Cartucho HP 667XL Preto Original (3YM81AL),,149.0,4.8,,,2025-09-26 22:27:50
B08C28F87W,Cartucho HP - 667XL Colorido Original (3YM80AL),,149.0,4.8,,,2025-09-26 22:27:50
B0DX444M3M,"Cartucho de Tinta 667 Preto e Colorido para Impressora, Conjunto de 2",,162.0,5.0,,,2025-09-26 22:27:50
B0DPHLXL91,Valuetoner Cartuchos de Tinta para HP 667 667XL 667 XL Compatível com HP DeskJet Ink Advantage 2374 1275 2375 2376 2775 2776e DeskJet Plus 6475 6476 6075 (2 Preto),,170.0,4.3,,,2025-09-26 22:27:50
B0DZD6SBYJ,Kit com 02 Cartuchos H.P 667 - Preto e Colorido,,165.0,4.7,,,2025-09-26 22:27:50
B0F6NQ2SSL,"Kit Cartucho de Tinta 667 Preto e Colorido para Impressora, Conjunto de 2, combo, black, color, tricolor, preço, do mercado, bk, cl.",,168.0,5.0,,,2025-09-26 22:27:50
B0FQCK9YB4,"WISETA Cartucho de Tinta Compatível para HP 667 667XL Compatível com DeskJet Ink Advantage 1275 2374 2375 2376 2775 2776 6475 6476 6075 (1 Preto, 1 Colorido)",,235.0,4.4,,,2025-09-26 22:27:50
B0DW3LHS36,"667XL 667 XL preto e colorido de substituição para HP 667 XL 667 cartuchos de tinta para Deskjet Ink Advantage 1275 2375, DeskJet2775, 1275 2374 2375 2376 2775 2776 6075 6475 6476 Impressoras (1",,275.0,4.2,,,2025-09-26 22:27:50
B075X3MBH2,"Cartucho Hp 664xl Colorido Original (f6v30ab) Para Hp Deskjet 2136, 2676, 3776, 5076, 5276",,143.0,4.7,,,2025-09-26 22:27:50
B0FCPC9293,Cartucho Compatível HP 667XL Preto 14ml + Colorido 13ml para DeskJet 2774 2722 2376 Printech + Microjet 100% novo,,229.0,,,,2025-09-26 22:27:50
B0CMWBHCGM,"Kit com 02 Cartuchos de Tinta H P 667XL - Colorido + Preto Original - Para Deskjet Ink Advantage 2376, 2776, 6476, 5076, 5276",,,4.3,,,2025-09-26 22:27:50
B0FCPJRY93,Cartucho 667XL Color 13ml Compatível HP 100% Novo – Printech by Microjet (Colorido),,129.0,5.0,,,2025-09-26 22:27:50
B0F1YFN7YB,fannster Cartuchos de tinta de substituição 667XL 667 XL 667 para hp 667 cartuchos de tinta pretos e coloridos para Deskjet 1275 2374 2375 2376 2775 2776 6075 6475 6476 impressora (1 preta e 1,,338.0,5.0,,,2025-09-26 22:27:50
B0FCMRLYFB,GPC Image Cartucho de tinta compatível para HP 667 667XL Compatível com HP DeskJet Ink Advantage 1275 2374 2375 2376 2775 2776 6475 Impressora (1 Preto 1 Colorido),,205.0,4.4,,,2025-09-26 22:27:50
B0CC3PR229,Kit Recarga Compatível Com Impressora 2776 Cartucho 667,,84.0,5.0,,,2025-09-26 22:27:50
B0CDQJC9WC,"Cartucho de tinta H P 667 Preto Original (3YM79AB) Para Deskjet Ink Advantage 2376, 2776, 6476, 5076, 5276",,,5.0,,,2025-09-26 22:27:51
B0DPNJVCNN,Kit 2 Tinta Stkink Black Compatível Advantage 667 667XL 2874 2774 2376 60K46A 100ml,,56.0,,,,2025-09-26 22:27:51
B0DJWF6VW9,"Kit Cartucho 667 Preto E Colorido + Folha A4 500 unid, Kit escritório, econômico, folhas, Resmas, papel de qualidade, Combo, DeskJet Ink Advantage, 2376, 2776, 6476, resma, black, color, original.",,189.0,5.0,,,2025-09-26 22:27:51
B0CDQHSJCF,Kit com 02 Cartuchos HP 667 Preto e Colorido,,,,,,2025-09-26 22:27:51
B0DMVWWGM1,"Cartuchos de tinta 667XL pretos e coloridos de substituição para HP 667 XL 667 cartuchos de tinta funcionam para Deskjet Ink Advantage 1275 2375 2775, Deskjet Ink Advantage Plus 6075 6475 6476 (1",,289.0,3.8,,,2025-09-26 22:27:51
B0BZ96VZKW,"Supreme Quality Kit 2x Cartucho Compatível 667XL Rendimento Extra 14ml Novo - Colorido - Água Base - Compatível com HP Deskjet Ink Advantage 1275, 2374, 2375, 2376, 2775, 2776, 6475, 6476",,293.0,5.0,,,2025-09-26 22:27:51
B0F24L86XP,"Cartucho de tinta 667XL preto e colorido, pacote combo compatível com HP Ink 667 667XL, tinta para impressora, funciona com impressoras DeskJet 1275 2374 2375 2376 2775 2776 6075 6475 6476 (pacote com",,317.0,,,,2025-09-26 22:27:51
B0DMNSRBYV,"YATUNINK Cartuchos de tinta 667XL 667 pretos e coloridos compatíveis com cartuchos de tinta HP 667, funciona com impressora DeskJet 1275 2374 2375 2376 2775 2776 6075 6475 6476 (1 preto, 1 cor) pacote",,323.0,4.3,,,2025-09-26 22:27:51
B0C75VMG4R,Cartucho De Impressora 667xl 14ML Preto Compatível,,165.0,4.3,,,2025-09-26 22:27:51
B0F3Z7YX2T,"Cartucho 667 Colorido Original (3YM78AB) Para impressoras Deskjet 1275, 2374, 2375, 2376, 2775, 2776, 6475, 6476, 5076, 5276",,,,,,2025-09-26 22:27:51
B0DHWNG8G1,"Cartucho de tinta 667XL preto e colorido de substituição para HP 667XL 667 XL cartuchos de tinta compatíveis com impressoras HP DeskJet 1275 2374 2375 2376 2775 2776 6075 6475 6476 (2 pretas, 1",,530.0,4.6,,,2025-09-26 22:27:51
B0CM7L6P7J,"Cartucho de tinta H P 667XL Colorido Original (3YM80AB) Para Deskjet Ink Advantage 2376, 2776, 6476, 5076, 5276",,,5.0,,,2025-09-26 22:27:51
B0CDQG1MJJ,"Cartucho HP 667 Preto Original (3YM79AB) Para HP Deskjet 2376, 2776, 6476, 5076, 5276 Preto",,,,,,2025-09-26 22:27:51
B0F2N2MJQN,Cartucho de tinta 667XL preto compatível com HP Ink 667 667XL Tinta de impressora funciona com DeskJet 1275 2374 2375 2376 2775 2776 6075 6475 6476 impressoras (1 volta),,186.0,,,,2025-09-26 22:27:51
B0CM79WB9F,"Cartucho HP 667XL Preto Original (3YM78AB) Para impressoras HP Deskjet 1275, 2374, 2375, 2376, 2775, 2776, 6475, 6476, 5076, 5276 (Preto, XL)",,,,,,2025-09-26 22:27:51
B0DPLFRRJJ,Kit 4 Tintas Stkink Compatível Advantage 667 667XL 2874 2774 2376 60K46A 500ml,,189.0,5.0,,,2025-09-26 22:27:51
B0CC3ST6K8,Tinta 100ml Black Compativel Impressora Cartucho 667xl,,17.0,4.8,,,2025-09-26 22:27:51
B0DPLHJ1NK,"Kit 4 Tintas Stkink Compatível Advantage 667 667XL 2874 2774 2376 60K46A 1,75 Litro",,152.0,,,,2025-09-26 22:27:51
B0CGWZYGCB,"Cartucho de tinta H P 667XL Colorido Original (3YM80AB) Para Deskjet Ink Advantage 2376, 2776, 6476, 5076, 5276",,,5.0,,,2025-09-26 22:27:51
B0CDST27QW,Kit com 02 Cartuchos HP 667 - Preto e Colorido,,,,,,2025-09-26 22:27:52
B0DPLJ2XSZ,"Kit 4 Tintas Stkink Compatível Advantage 667 667XL 2874 2774 2376 60K46A 1,25 Litro",,121.0,,,,2025-09-26 22:27:52
B0CMVWTRKD,Kit com 02 Cartuchos HP 667 - Preto e Colorido,,,,,,2025-09-26 22:27:52
B0D7KWQWHF,"Cartucho de tinta 667XL preto e colorido combo de substituição para HP 667XL 667 XL cartuchos de tinta funciona para impressoras HP DeskJet 1275 2374 2375 2376 2775 2776 6075 6475 6476 (1 preta, 1",,561.0,4.0,,,2025-09-26 22:27:52
B0DJPTWTWK,"Cartucho H P 667 Preto Original (3YM79AB) Para H P Deskjet 2376, 2776, 6476, 5076, 5276",,,,,,2025-09-26 22:27:52
B0BNN8RSRV,"SHUPAN Cartucho de tinta 667XL preto e colorido, substituição para cartuchos de tinta HP 667XL 667 XL, para impressoras HP DeskJet 1275 2374 2375 2376 2775 2776 6075 6475 6476 (1 preto, 1 tricolor)",,655.0,3.6,,,2025-09-26 22:27:52
B0F496TKWW,"Cartucho 667 Colorido Original (3YM78AB) Para impressoras Deskjet 1275, 2374, 2375, 2376, 2775, 2776, 6475, 6476, 5076, 5276",,,,,,2025-09-26 22:27:52
B0DM2NK1T3,"Cartucho H P 667 Preto Original (3YM79AB) Para H P Deskjet 2376, 2776, 6476, 5076, 5276 Preto",,,,,,2025-09-26 22:27:52
